Time_Sync,Dsc_DireP1,Dsc_DireP2,Dsc_DireP3,Dsc_DireP4,Dsc_DireP5,Dsc_RadiantP1,Dsc_RadiantP2,Dsc_RadiantP3,Dsc_RadiantP4,Dsc_RadiantP5
0,35.658884701416774,44.7595375517723,39.48943602400481,69.44027186023028,41.97795972869488,61.66152444804865,52.28413690739676,51.393729581959086,63.07238123016655,59.910217498853534
1,35.658884701416774,44.7595375517723,39.48943602400481,69.44027186023028,41.97795972869488,60.91484515313704,51.48178671082433,50.50801354166179,62.516439921165905,58.1409724968335
2,35.826656763446486,44.388935669520876,40.318226961372126,69.33656826660874,42.31914879304096,60.71267066037619,50.444609772278454,49.747719545827,61.79483629663129,56.12567915011436
3,36.07560543319347,44.04009699015573,41.19984513194577,69.2457351309023,42.73670945156198,60.55009145059803,49.930400988112524,49.306099152470836,61.02215072207433,54.60592795415516
4,36.98846557396986,44.02387111363116,43.1187706920279,69.14163568503945,44.214198465831714,60.26859543264421,50.04813824459869,49.058430447120536,60.628378141697745,53.093077433232914
5,37.25041234757258,44.41948969216899,43.52748850364358,68.64180884513473,44.780654789683226,60.059292832955016,49.59974690121152,48.582620226939824,60.07086865415852,51.40206378243661
6,37.534921158120355,44.82155605223859,43.94210067158858,68.14200178347966,45.38203506659053,60.00574862372436,49.540674998936964,48.27184925728693,60.054812520001676,50.592972569994366
7,37.64361456390797,45.038565585588806,43.761950044870446,67.50260661408794,45.94152714624819,60.16827264059475,49.44594541595655,48.40651280543917,59.62608666604739,51.0885675382109
8,38.08423685275415,45.89219502201658,44.348934205094864,66.65989187851329,46.80291639476472,59.84707871170979,48.917486519774734,48.65930977892641,59.016988726144355,50.53430650874818
9,38.65905948736942,46.21606857753653,44.94823622180246,66.24881960447836,48.06697422897979,59.41525279115274,48.552940007085866,49.12006101762063,58.87150599182998,50.35246215411135
10,38.525373972883685,46.980255839930464,44.34121395674918,65.28660479181247,48.34228342927538,59.22781782838286,49.61395859534729,50.922713904482904,59.021107369112485,50.98691835914716
11,39.42616998707302,46.31444085315724,45.62327145468466,65.06252853607306,49.66462815909048,59.16214476034945,49.485861476562086,51.480316521683264,58.787365657082546,51.5811030850539
12,39.61397120141454,47.05666118312724,45.95732636983375,64.42824555415807,50.31230390312757,58.330763196236376,49.358346111914194,52.51308739322279,58.799452434010426,51.42039425649551
13,40.24986818497475,48.416587754823695,46.47157121148794,63.77407653273852,51.56100200870762,57.76181012311849,49.978793514809006,53.535802149367264,58.83306770023253,51.351253321934976
14,40.90001806090534,49.428071430110826,47.765900498291074,62.70448960052073,51.86191509924139,57.955361167769965,50.15072820133266,55.05635034032514,58.6023041511621,51.838684121895476
15,41.361596705386546,49.91911198618313,48.02072757939722,62.13271339821649,51.859590953042506,57.74531658166477,48.55616162575985,55.26213562403605,57.60541351587247,50.9031502275719
16,41.685915402359065,50.002123064626204,48.833676323327126,62.13059708963427,51.17073117909694,57.135005098790685,48.54798827530703,55.84027996230267,57.45379412996059,51.3852412489775
17,42.297832980847616,50.65019734918249,49.278414643003195,62.76179100635633,51.16794298151025,57.3049731104726,46.15590444496205,55.510837817701585,56.21999687901652,50.54932773439806
18,43.052142595600436,51.6827546145425,50.09206707330417,63.01830657730993,51.75210772291743,57.335701591181746,43.8735084975216,55.349637516029965,55.041509625044135,49.57059503688758
19,43.67379800178816,51.78174958520786,50.63502971392937,62.843272981783315,52.50783802647739,57.913752952121534,42.316767800577466,55.89084649103463,54.15148834523977,49.22551620248383
20,44.777810808070534,53.05808554521789,51.90543594265317,62.942411719150385,53.519825801118,58.29446421435432,40.75928222278788,56.0688809734138,53.2340778096401,48.94203931143696
21,45.74660064849369,54.16916810972312,53.70683178506067,62.65891378016608,55.15402403273614,58.574380547034785,39.62941163995697,56.10210223740383,52.36852417843807,48.761401365116534
22,46.77590843117972,55.333364248543376,54.833784049737915,62.56524055518048,56.41377564224199,58.9533987234803,39.1454927235684,56.367473542873604,52.091746554476316,49.49783644555045
23,47.99645424049416,56.78690237088044,56.25364429364334,62.337357578171634,57.60008921778115,59.13703838937419,39.5639801414253,57.694193755949506,51.644557648102335,50.201836204271956
24,49.192329466677165,57.463163146996195,57.19522687517721,61.8140761302655,58.54553449458829,58.5022036679284,40.42058370003136,59.4974624412733,51.66270741818502,50.66797858925146
25,50.3320005953611,58.83027516948434,58.54909675530786,61.841090674458876,59.62810059862138,58.73481608897561,41.469601607628235,60.75788296424008,51.20674896930656,51.71790159024563
26,51.65746368392081,60.0553207200247,59.76863440358446,62.20064786963939,60.58859412019601,58.018369901945825,41.63907964503918,62.38060257102694,51.79606110938869,51.535576758607434
27,52.821980108235856,61.42268623591656,61.12456490697682,63.192668693765874,62.25339481060634,57.80721630208733,42.53114432764431,64.33235095295036,50.25595008476303,52.3139794642957
28,53.4244932200452,62.6776058481571,62.36595622545937,64.14044507824931,64.91063645903895,58.524105800284566,44.2790143997095,65.40882840312442,50.18046970943678,53.74817860915954
29,53.126644516705255,63.106368894726856,62.772459976430156,65.0087330035096,66.37203010365624,58.48824073055365,45.845258710566064,67.14374782611668,51.72712368850831,54.43709271054638
30,53.33367887375826,64.17619150615779,63.81279749216464,66.45053083524671,68.99088256642462,57.994088882409486,45.81013502929757,69.24102135978336,50.729823899050665,54.84688870396219
31,53.66021446953086,65.33457644295576,64.31531902607345,67.56070470360966,71.34720961713474,57.740590458911406,45.32635866814401,70.67471415906502,49.66288829131834,55.194762412096495
32,54.11854053574617,66.08416513559266,65.69766208019891,68.64825473968243,73.90965470366403,56.453025757653684,44.53198576882929,73.11234339742697,49.675981842871366,54.50788948220225
33,55.110031158410706,67.44745116856973,67.0572941299746,69.62226737004337,74.71715099189777,54.97421395188226,43.248246586354036,75.32198714766389,48.91922571978846,53.91840279014636
34,55.826217653948355,68.73157154633434,68.3330943080334,70.78289337373143,74.22296672385015,54.36462524004698,42.450130650757934,76.59139168332419,47.12299840459448,53.35473570252626
35,56.3260315641386,70.50921025970031,68.84505602167835,71.97456887565903,73.88649581701432,54.200103146562405,42.41594336371889,78.75964439324106,46.40680634832633,53.91110748143223
36,56.83718616647596,71.29030993178463,69.62639439263687,73.40678419463218,74.3844796085268,54.385528656855946,42.5077986617148,81.41517400041869,45.795237071197676,55.46750802402454
37,56.72747557546231,71.95245275669548,69.45913673355534,73.69413914846758,73.50468462797123,54.858197706146385,42.694097508276556,83.39417025262803,45.33023670339917,57.71493727871659
38,56.44630083080627,73.20631031067913,68.61353621533507,73.79096317527794,73.0310996565706,54.68995215079425,42.69293177067645,85.78562787933679,44.79061691996595,58.20093412649373
39,56.449612341419055,73.27133253654225,68.1957788676874,73.35380346187327,73.44290424455085,55.24131845763847,42.94844393012173,86.36596452983882,43.675839874706654,58.75899129118125
40,56.7131558047348,73.23552748842171,67.53804454142531,73.56934964068479,74.56265609869368,55.30547850529091,42.57057075927387,87.1514635846009,42.419250872815965,59.15443393386843
41,55.616718868547004,73.54839394261802,65.14225390183535,72.1746558732033,72.9948594321019,53.793897552033776,40.44499823712167,87.62814573947077,40.69682081191413,56.42388679132109
42,55.45655580107696,73.46659683903815,64.23795933490845,71.7078702052637,73.78587290193846,53.95262046278392,41.65424840660648,87.8983465024973,41.531308235515894,58.1466625472509
43,55.6708271782459,74.49881634332235,64.24969289584578,71.79976515341616,72.83658671460738,52.77932356998273,41.88532547434992,87.85487657632575,41.27544733849777,56.83839506474938
44,56.1457514369491,75.30502284703859,65.16077256305589,72.18182035791513,72.99169823670802,51.82955853917743,41.958704306983435,87.66633005694824,40.739972264559945,54.75267923435276
45,55.5827959742291,73.99481093167762,65.46254010368912,71.87560500796553,71.2442353343036,51.18691934780351,42.80610698859563,88.71909526776756,40.84158831780619,53.18120035646377
46,55.25322338596717,71.40044859200624,66.43062797897906,72.23892427833803,70.17404367211917,50.76569019598701,43.84427169833032,89.79558446827612,41.46864212996799,52.53591206029178
